id	name	old_id
1	Akabane-Iwabuchi	2
2	Akabanebashi	3
3	Akasaka	4
4	Akasaka-mitsuke	5
5	Akebonobashi	6
6	Akihabara	7
7	Aoyama-itchome	8
8	Asakusa	9
9	Asakusabashi	10
10	Awajicho	11
11	Ayase	12
12	Azabu-Juban	13
13	Bakuro-yokoyama	14
14	Baraki-nakayama	15
15	Chikatetsu-Akatsuka	16
16	Chikatetsu-Narimasu	17
17	Daimon	18
18	Ebisu	19
19	Edogawabashi	20
20	Funabori	21
21	Gaienmae	22
22	Ginza	23
23	Ginza-itchome	24
24	Gokokuji	25
25	Gotanda	26
26	Gyotoku	27
27	Hakusan	28
28	Hamacho	29
29	Hanzomon	31
30	Hasune	33
31	Hatchobori	34
32	Heiwadai	35
33	Hibiya	36
34	Higashi-Ginza	37
35	Higashi-Ikebukuro	38
36	Higashi-Koenji	39
37	Higashi-Nakano	40
38	Higashi-Ojima	41
39	Higashi-Shinjuku	42
40	Higashi-nihombashi	43
41	Hikarigaoka	44
42	Hikawadai	45
43	Hiroo	46
44	Hon-Komagome	47
45	Honancho	48
46	Hongo-Sanchome	49
47	Honjo-azumabashi	50
48	Ichigaya	51
49	Ichinoe	52
50	Iidabashi	53
51	Ikebukuro	54
52	Inaricho	55
53	Iriya	56
54	Itabashi-honcho	57
55	Itabashi-kuyakushomae	58
56	Iwamotocho	59
57	Jimbocho	60
58	Kachidoki	61
59	Kagurazaka	62
60	Kamiyacho	63
61	Kanamecho	64
62	Kanda	65
63	Kasai	66
64	Kasuga	67
65	Kasumigaseki	68
66	Kayabacho	69
67	Kiba	70
68	Kikukawa	71
69	Kinshicho	72
70	Kita-Ayase	73
71	Kita-Senju	74
72	Kitasando	75
73	Kiyosumi-shirakawa	76
74	Kodenmacho	77
75	Kojimachi	78
76	Kokkai-gijido-mae	79
77	Kokkai-gijidomae	80
78	Kokuritsu-Kyogijo	81
79	Komagome	82
80	Korakuen	83
81	Kotake-Mukaihara	84
82	Kudanshita	85
83	Kuramae	86
84	Kyobashi	87
85	Machiya	88
86	Magome	89
87	Meguro	90
88	Meiji-Jingumae	91
89	Minami-Asagaya	93
90	Minami-Gyotoku	94
91	Minami-Senju	95
92	Minami-Sunamachi	96
93	Minowa	97
94	Mita	98
95	Mitsukoshimae	99
96	Mizue	100
97	Monzen-Nakacho	101
98	Morishita	102
99	Motohasunuma	103
100	Motoyawata	104
101	Myoden	105
102	Myogadani	106
103	Nagatacho	107
104	Naka-Meguro	108
105	Nakai-Station	109
106	Nakano	110
107	Nakano-Sakaue	111
108	Nakano-fujimicho	112
109	Nakano-sakaue	113
110	Nakano-shimbashi	114
111	Nakanobu	115
112	Nakaokachimachi	116
113	Nerima	117
114	Nerima-Kasugacho	118
115	Nezu	119
116	Nihombashi	120
117	Nijubashimae	121
118	Ningyocho	122
119	Nishi-Funabashi	124
120	Nishi-Kasai	125
121	Nishi-Nippori	126
122	Nishi-Ojima	127
123	Nishi-Shinjuku	128
124	Nishi-Shinjuku-gochome	129
125	Nishi-Sugamo	130
126	Nishi-Takashimadaira	131
127	Nishi-Waseda	132
128	Nishi-magome	133
129	Nishidai	134
130	Nishigahara	135
131	Nogizaka	136
132	Ochanomizu	137
133	Ochiai	138
134	Ochiai-Minami-Nagasaki	139
135	Ogawamachi	140
136	Ogikubo	141
137	Oji	142
138	Oji-Kamiya	143
139	OjimaStation	144
140	Omotesando	146
141	Onarimon	147
142	Oshiage	149
143	Otemachi	150
144	Roppongi	152
145	Roppongi-itchome	153
146	Ryogoku	154
147	Sakuradamon	155
148	Sendagi	156
149	Sengakuji	157
150	Sengoku	158
151	Senkawa	159
152	Shibakoen	160
153	Shibuya	161
154	Shimbashi	162
155	Shimo	163
156	Shimura-sakaue	164
157	Shimura-sanchome	165
158	Shin-Egota	166
159	Shin-Itabashi	167
160	Shin-Koenji	168
161	Shin-Nakano	169
162	Shin-Ochanomizu	170
163	Shin-Okachimachi	171
164	Shin-Otsuka	173
165	Shin-Takashimadaira	174
166	Shin-kiba	175
167	Shinjuku	177
168	Shinjuku-Nishiguchi	178
169	Shinjuku-gyoenmae	179
170	Shinjuku-sanchome	180
171	Shinozaki	181
172	Shintomicho	182
173	Shiodome	183
174	Shirokane-Takanawa	184
175	Shirokane-dai	185
176	Suehirocho	186
177	Sugamo	187
178	Suidobashi	188
179	Suitengumae	189
180	Sumiyoshi	190
181	Takadanobaba	192
182	Takanawadai	193
183	Takaracho	194
184	Takashimadaira	195
185	Takebashi	196
186	Tameike-Sanno	198
187	Tatsumi	199
188	Tawaramachi	200
189	Tocho-mae	201
190	Todai-mae	202
191	Togoshi	203
192	Tokyo	204
193	Toranomon	205
194	Toshimaen	206
195	Toyocho	207
196	Toyosu	208
197	Tsukiji	209
198	Tsukijishijo	210
199	Tsukishima	211
200	Uchisaiwaicho	212
201	Ueno	213
202	Ueno-Okachimachi	214
203	Ueno-hirokoji	215
204	Urayasu	217
205	Ushigome-Kagurazaka	218
206	Ushigome-Yanagicho	219
207	Wakamatsu-kawada	220
208	Wakoshi	221
209	Waseda	222
210	Yotsuya	223
211	Yotsuya-sanchome	224
212	Yoyogi	225
213	Yoyogi-Koen	226
214	Yoyogi-uehara	227
215	Yurakucho	228
216	Yushima	229
217	Zoshigaya	230
