shape,K,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
circle,1,0.031070283039173065,0.06357472098976724,0.08208356366240611,0.00010878060423014595,0.0
circle,2,0.03421279704841893,0.06645893046336368,0.07427666974512169,0.00010996614140224627,0.0
circle,3,0.029185557079370955,0.06035946921465821,0.0725922830609055,0.00011809291689610385,0.0
circle,5,0.01470204418407835,0.03200014920101289,0.032662244498599724,0.00016105939371382702,0.0
circle,8,0.015984061086474256,0.03629023955244538,0.04540454657527794,0.00026313836104756034,0.0
circle,12,0.009569316841546664,0.021830645605478434,0.029169733158370802,0.0004458587643336968,0.0
circle,20,0.005206802629327236,0.01473036858467541,0.023255163135422127,0.0009318828304060093,0.0
circle,30,0.004539600037046554,0.013367466037141458,0.02617533124608594,0.001483883606095838,0.0
ellipse,1,0.03242757593456795,0.06655264512930734,0.10126798933596072,0.00012048055315990846,0.0
ellipse,2,0.03620065699164839,0.07153515105291329,0.10327802044190504,0.00012213773705243522,0.0
ellipse,3,0.03063144989414292,0.06346933599320498,0.08866253055105211,0.00013053764306784893,0.0
ellipse,5,0.015409642166297713,0.03369790509496927,0.042644095892929834,0.00018267701508034261,0.0
ellipse,8,0.01635806600549241,0.038214082631058396,0.04984332376481338,0.0003035550383715646,0.0
ellipse,12,0.010051752918873261,0.023260408868463894,0.03185152286099912,0.0004796470437326569,0.0
ellipse,20,0.005345365232939802,0.015499766708432922,0.023801933279319242,0.0010158483586696783,0.0
ellipse,30,0.004765282387656581,0.014191625601596881,0.028179763301131693,0.0015514746739227685,0.0
cardioid,1,0.3226061176547276,0.6588241927741189,0.5911551842020072,0.00010783665224547433,0.0
cardioid,2,0.052989572123028586,0.10159304453288459,0.16394367697719653,0.0002312595957318372,0.0
cardioid,3,0.033119026806915336,0.07177673935675095,0.1030909895914517,0.0002276656024960908,0.0
cardioid,5,0.014401408629517953,0.03222767084505748,0.04886344168431713,0.0002664112262696123,0.0
cardioid,8,0.019485702937740833,0.04471782920887012,0.08369854878911093,0.00034667473116345004,0.0
cardioid,12,0.015178032005476119,0.034699489764840975,0.05834698766388441,0.0006376445109649784,0.0
cardioid,20,0.007246665563057447,0.020676666689528583,0.04399824324075084,0.0012482533053192082,0.0
cardioid,30,0.0062645627530287075,0.02069548516783233,0.04820172151824657,0.0020512659346945314,0.0
rose,1,0.5861106968379411,0.5767754232359437,1.0036391389091115,9.234776686996918e-06,0.0
rose,2,0.509031559877483,0.5125419379685578,0.9458367616509734,4.936925561896325e-05,0.0
rose,3,0.41907295058449084,0.4310187238291504,0.7796304246758161,0.00016890266567196356,0.0
rose,5,0.136904776385579,0.22332699314998886,0.5365459798022072,0.0008956778403689671,0.0
rose,8,0.0421450492543643,0.09307594560416099,0.25390065946741497,0.0018897710818716448,0.0
rose,12,0.03026692090918645,0.08257374357655062,0.129786011608919,0.0024587935690542394,0.0
rose,20,0.02125052384466427,0.06520831854076316,0.12985954046267917,0.0036139023175924775,0.0
rose,30,0.01024105981395042,0.04158574080956785,0.12390983875983419,0.005685105226624215,0.0
wavy_circle,1,0.13168779497224306,0.24063443827513822,0.33515930034940444,0.00010886696940901043,0.0
wavy_circle,2,0.11750821110618397,0.23406466087162964,0.2941544530674554,0.00011285413732569539,0.0
wavy_circle,3,0.11721468413620065,0.22278264537819575,0.27786411477591577,0.00011860708542761757,0.0
wavy_circle,5,0.07610490107925946,0.15916032382044482,0.21453561602576743,0.00025559575422668253,0.0
wavy_circle,8,0.0393147074709944,0.08438630957712165,0.15680521965293395,0.0005375572675852458,0.0
wavy_circle,12,0.020615139497009768,0.04799227577812452,0.09599569485567132,0.0008256016687123427,0.0
wavy_circle,20,0.011497311650350483,0.032837629966677204,0.07199329464921267,0.0014182948627101098,0.0
wavy_circle,30,0.008543259020472215,0.02667510028456525,0.0820076619061283,0.0023323093214366137,0.0
