experiment,shape,closed,method,family,parameterization,n_points,noise_sigma,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
interp_vs_approx,s_curve,False,cubic_spline,interpolation,chord,48,0.0,1.2395389792112805e-05,0.003026508407548534,0.00513207041251908,9.460190113376904e-05,0.0007195999969553668
interp_vs_approx,s_curve,False,bspline_interp,interpolation,chord,48,0.0,1.2397569585527544e-05,0.0030277403250079803,0.005132070388055037,9.458740668188186e-05,0.00039760000072419643
interp_vs_approx,s_curve,False,poly_ls,approximation,chord,48,0.0,0.027862209158078247,0.058333472309662224,0.07597727251129438,0.00016730906261641618,0.00038499999936902896
interp_vs_approx,s_curve,False,bspline_ls,approximation,chord,48,0.0,0.019301171159569887,0.04078245473841853,0.0744030779487683,0.00011269650742339401,0.0003103000017290469
interp_vs_approx,s_curve,False,cubic_spline,interpolation,chord,48,0.02,0.00015591686837071692,0.04424920103880233,0.08767359922286458,0.0011182307750688349,0.0006926000023668166
interp_vs_approx,s_curve,False,bspline_interp,interpolation,chord,48,0.02,0.00014956297157153826,0.058677337385677264,0.3562566813641109,0.0013108110195675707,0.00038999999742372893
interp_vs_approx,s_curve,False,poly_ls,approximation,chord,48,0.02,0.025652264313940087,0.04304885562743735,0.06719120741887163,0.00014800139960966576,0.0003543999991961755
interp_vs_approx,s_curve,False,bspline_ls,approximation,chord,48,0.02,0.017927962939064016,0.030701185002465978,0.05002181755121604,0.0001081769257954073,0.00019090000205324031
interp_vs_approx,cubic_poly,False,cubic_spline,interpolation,chord,48,0.0,2.4264555673288506e-06,0.0016238807855983469,0.002545894170790528,2.950976230600996e-05,0.0007968999998411164
interp_vs_approx,cubic_poly,False,bspline_interp,interpolation,chord,48,0.0,2.415948577072645e-06,0.001595229961455163,0.002505307511795802,2.985102333198311e-05,0.0005567000007431488
interp_vs_approx,cubic_poly,False,poly_ls,approximation,chord,48,0.0,0.002076363280847126,0.006149981837746798,0.009366868408060988,3.380227261819824e-05,0.0003371999991941266
interp_vs_approx,cubic_poly,False,bspline_ls,approximation,chord,48,0.0,0.019195265230553506,0.035912380555370056,0.08062931240648277,4.022208860341072e-05,0.00013929999840911478
interp_vs_approx,cubic_poly,False,cubic_spline,interpolation,chord,48,0.02,8.754901694870348e-05,0.03319318596959135,0.05228668916659953,0.0008938446647505476,0.0007872999995015562
interp_vs_approx,cubic_poly,False,bspline_interp,interpolation,chord,48,0.02,8.720519150203567e-05,0.03458446718971449,0.05228668916806129,0.0009248982305194615,0.0005516000019269995
interp_vs_approx,cubic_poly,False,poly_ls,approximation,chord,48,0.02,0.014457946037502403,0.016959723616965086,0.02331420838774545,4.110341999682767e-05,0.00034890000097220764
interp_vs_approx,cubic_poly,False,bspline_ls,approximation,chord,48,0.02,0.01549795284451498,0.013963852665535521,0.03969019257085415,3.7175072471079867e-05,0.000158200000441866
interp_vs_approx,circle,True,cubic_spline,interpolation,chord,48,0.0,1.2247652758871815e-05,0.0035397389644575466,0.00629613731631857,0.0001579326002457096,0.0010238000031677075
interp_vs_approx,circle,True,bspline_interp,interpolation,chord,48,0.0,1.2246214480390804e-05,0.0035452257201702194,0.0062961372913788284,0.000157928619350046,0.00041169999894918874
interp_vs_approx,circle,True,poly_ls,approximation,chord,48,0.0,0.000567472053731537,0.0041947529777765285,0.006309572933619667,0.000159539361112798,0.0003414999991946388
interp_vs_approx,circle,True,bspline_ls,approximation,chord,48,0.0,0.019877974058915917,0.042845107145243796,0.0528245171695965,0.0001570921885137427,0.00014879999798722565
interp_vs_approx,circle,True,cubic_spline,interpolation,chord,48,0.02,0.00012601335220040406,0.03804081637806796,0.06508734553247167,0.0010578537777850335,0.00105729999995674
interp_vs_approx,circle,True,bspline_interp,interpolation,chord,48,0.02,0.00024077678043783366,0.036438104803037094,0.06507366670684583,0.0009176742773343358,0.00037230000089039095
interp_vs_approx,circle,True,poly_ls,approximation,chord,48,0.02,0.01599302632241974,0.014625038663056842,0.023161123488293658,0.00023705859678197654,0.00033569999868632294
interp_vs_approx,circle,True,bspline_ls,approximation,chord,48,0.02,0.022575422804015338,0.03272539686848046,0.03986578789746875,0.00015802861342767855,0.0001537000025564339
interp_vs_approx,wavy_circle,True,cubic_spline,interpolation,chord,48,0.0,8.840376887252399e-05,0.011508265821564672,0.03318575022758371,0.0007716385270867943,0.001487100002123043
interp_vs_approx,wavy_circle,True,bspline_interp,interpolation,chord,48,0.0,8.897043552523501e-05,0.012092335669543267,0.03318575022751373,0.0007717985905884297,0.0003972000013163779
interp_vs_approx,wavy_circle,True,poly_ls,approximation,chord,48,0.0,0.12097009754882271,0.2196911927513557,0.30898034123795504,0.0004049211507125305,0.0003062999967369251
interp_vs_approx,wavy_circle,True,bspline_ls,approximation,chord,48,0.0,0.02137701997180408,0.05785882597684342,0.08089934702700251,0.0006302214107493966,0.00027440000121714547
interp_vs_approx,wavy_circle,True,cubic_spline,interpolation,chord,48,0.02,0.00020484098935689033,0.046893422664289426,0.10566844701587794,0.0014868595702069885,0.001268699998036027
interp_vs_approx,wavy_circle,True,bspline_interp,interpolation,chord,48,0.02,0.00024108340318759993,0.04238004894439236,0.0751857355875164,0.0013767191757678922,0.0003916000023309607
interp_vs_approx,wavy_circle,True,poly_ls,approximation,chord,48,0.02,0.12109856891938427,0.21915819042872256,0.31071790820944944,0.0004628890265026109,0.00033350000012433156
interp_vs_approx,wavy_circle,True,bspline_ls,approximation,chord,48,0.02,0.02110869627176044,0.06095172533395151,0.10325815309553933,0.0006080321955697335,0.0002649000016390346
