experiment,shape,closed,method,parameterization,n_points,noise_sigma,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
no_noise_basic,s_curve,False,cubic_spline,chord,40,0.0,1.1759574167509284e-05,0.002960756641262676,0.0046331507810961885,9.404385069130503e-05,0.0012236999973538332
no_noise_basic,s_curve,False,bspline_interp,chord,40,0.0,1.1760163160572034e-05,0.002960767649145786,0.004633150772593144,9.403645395573499e-05,0.0002566999974078499
no_noise_basic,s_curve,False,poly_ls,chord,40,0.0,0.03052347736163159,0.056144095025242244,0.07221766327430651,0.00016319764006854273,0.0008106999994197395
no_noise_basic,s_curve,False,bspline_ls,chord,40,0.0,0.0191401909589752,0.03470186500274275,0.05112529725746433,0.00011681428722648459,0.0001205000007757917
no_noise_basic,circle,True,cubic_spline,chord,40,0.0,9.888291127190407e-06,0.00314264286263661,0.006283179483843057,0.00015791145821476607,0.001064200001565041
no_noise_basic,circle,True,bspline_interp,chord,40,0.0,0.00019580179284971536,0.004469414505903428,0.014560142326234378,0.00022212794671615916,0.0002776000001176726
no_noise_basic,circle,True,poly_ls,chord,40,0.0,0.00047131195983633127,0.0051752840235017045,0.08430954766272239,0.0007745344723852276,0.00030130000232020393
no_noise_basic,circle,True,bspline_ls,chord,40,0.0,0.012317422138962936,0.02523059091563564,0.028675419026201403,0.00015733330050739946,0.0001419000000169035
no_noise_basic,ellipse,True,cubic_spline,chord,40,0.0,1.2873565371578142e-05,0.004394114827401513,0.007040312689173509,0.00017704003935067043,0.0013156999993952923
no_noise_basic,ellipse,True,bspline_interp,chord,40,0.0,0.00026710354903397495,0.005148779293345026,0.017157701189777788,0.00023915360745385315,0.00040359999911743216
no_noise_basic,ellipse,True,poly_ls,chord,40,0.0,0.024135696330791944,0.047455754666839337,0.07614341405355976,0.0005180929924234575,0.0003386999997019302
no_noise_basic,ellipse,True,bspline_ls,chord,40,0.0,0.0159635957248443,0.03168107193290558,0.047270237508021895,0.00018089062971826314,0.00020880000010947697
no_noise_basic,sine_modulated,False,cubic_spline,chord,40,0.0,0.00010004271729732789,0.0064091840662434,0.009289450512167858,0.000599643193388423,0.0007867999993322883
no_noise_basic,sine_modulated,False,bspline_interp,chord,40,0.0,9.805345717233038e-05,0.007154482207285857,0.018166513989339165,0.000617931097342814,0.00035009999919566326
no_noise_basic,sine_modulated,False,poly_ls,chord,40,0.0,0.05510915269360609,0.09293581530943967,0.13663803314736483,0.0002617557060720711,0.0003573000030883122
no_noise_basic,sine_modulated,False,bspline_ls,chord,40,0.0,0.0187400750751039,0.032164003441527055,0.061222902998377404,0.0004149485721688674,0.0002091999995172955
