experiment,shape,closed,method,parameterization,n_points,noise_sigma,trial,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
noise_robustness,s_curve,False,cubic_spline,chord,40,0.0,0,9.520614904459897e-06,0.003283348171777143,0.00719748107598468,9.544635177289618e-05,0.0006513000007544179
noise_robustness,s_curve,False,bspline_interp,chord,40,0.0,0,9.52123776101196e-06,0.0032833840364148202,0.00719748107598485,9.544148791342655e-05,0.0003166999995301012
noise_robustness,s_curve,False,poly_ls,chord,40,0.0,0,0.02867263942793511,0.06041233516391735,0.0878822634652745,0.0001586263087533367,0.0002865999995265156
noise_robustness,s_curve,False,bspline_ls,chord,40,0.0,0,0.01865165634040054,0.03865995390526751,0.06443461349162827,0.00011620296602707386,0.00016320000213454477
noise_robustness,s_curve,False,cubic_spline,chord,40,0.01,0,0.00011331599781539046,0.020124390103819625,0.0395010481699079,0.0005386955460199889,0.0007439999972120859
noise_robustness,s_curve,False,bspline_interp,chord,40,0.01,0,0.00011254692955297847,0.02047963996956866,0.039501048169488295,0.0005449140761913203,0.0003499000013107434
noise_robustness,s_curve,False,poly_ls,chord,40,0.01,0,0.026364480953388558,0.05962904862049892,0.08915872762392188,0.0001566334881116606,0.000329400001646718
noise_robustness,s_curve,False,bspline_ls,chord,40,0.01,0,0.017688468622205203,0.03919522050389562,0.06870819945997046,0.00011584925757917536,0.00014169999849400483
noise_robustness,s_curve,False,cubic_spline,chord,40,0.02,0,0.0001247118811021298,0.03126950276929061,0.06096177565096056,0.0008088903151381706,0.0006671000010101125
noise_robustness,s_curve,False,bspline_interp,chord,40,0.02,0,0.0001234724219189038,0.03196114608262483,0.0609617756478836,0.0008216311737575952,0.00033689999690977857
noise_robustness,s_curve,False,poly_ls,chord,40,0.02,0,0.023373987447133513,0.054249397563512526,0.08352229786381399,0.00015346240950844713,0.0002863000008801464
noise_robustness,s_curve,False,bspline_ls,chord,40,0.02,0,0.01781416843384264,0.03729245518883994,0.06724744377345698,0.00011938016107622381,0.0001754000004439149
noise_robustness,s_curve,False,cubic_spline,chord,40,0.04,0,0.00014367361115737187,0.05681000518458022,0.1001729868631545,0.0012711844488498814,0.0007937000009405892
noise_robustness,s_curve,False,bspline_interp,chord,40,0.04,0,0.00014141839174672597,0.058205884583023726,0.10017298685005672,0.001299701907775306,0.00031319999834522605
noise_robustness,s_curve,False,poly_ls,chord,40,0.04,0,0.026635666321701675,0.045982506456302266,0.06972010577398202,0.0001526183103410312,0.0002906000008806586
noise_robustness,s_curve,False,bspline_ls,chord,40,0.04,0,0.019925741031018775,0.04661239962261979,0.06213669707745543,0.000174558746500517,0.0002119999990100041
noise_robustness,s_curve,False,cubic_spline,chord,40,0.06,0,0.00019177170015465583,0.07636204267404251,0.1352695965531557,0.001719762136863424,0.0006590000011783559
noise_robustness,s_curve,False,bspline_interp,chord,40,0.06,0,0.00018487122443508808,0.07828314436348102,0.13526959653154344,0.0017669597515193537,0.0003670999976748135
noise_robustness,s_curve,False,poly_ls,chord,40,0.06,0,0.03547633902756643,0.04639455522159289,0.08521109906217424,0.000156134830819161,0.00032609999834676273
noise_robustness,s_curve,False,bspline_ls,chord,40,0.06,0,0.022877419617565738,0.07264112805566939,0.13379296050907052,0.0006547402864768183,0.00022139999782666564
noise_robustness,s_curve,False,cubic_spline,chord,40,0.0,1,1.0441768456161294e-05,0.0084368436869506,0.026603565394905476,9.791811449622808e-05,0.0006735999995726161
noise_robustness,s_curve,False,bspline_interp,chord,40,0.0,1,1.0422819597633474e-05,0.008883738478555591,0.028122210889548194,9.887190248781261e-05,0.0003355999979248736
noise_robustness,s_curve,False,poly_ls,chord,40,0.0,1,0.023810727744966946,0.07261312582773552,0.10983998059062618,0.0001478470647784315,0.00030310000147437677
noise_robustness,s_curve,False,bspline_ls,chord,40,0.0,1,0.017151543630152775,0.064101887641003,0.11575631706280523,0.00011517374542424695,0.00016670000331941992
noise_robustness,s_curve,False,cubic_spline,chord,40,0.01,1,0.00015513917609214154,0.04652323672669915,0.10715427827095778,0.0007683175137579422,0.0007112000021152198
noise_robustness,s_curve,False,bspline_interp,chord,40,0.01,1,0.0001548760002825634,0.04791825954462685,0.11153904294259917,0.0007733163773442945,0.0003529999994498212
noise_robustness,s_curve,False,poly_ls,chord,40,0.01,1,0.024195915620827645,0.06690678891838014,0.08595101380394521,0.0001443169361689536,0.0003173000004608184
noise_robustness,s_curve,False,bspline_ls,chord,40,0.01,1,0.017047982396529177,0.058446731236798874,0.10180550694351424,0.00011725380467381197,0.00015500000154133886
noise_robustness,s_curve,False,cubic_spline,chord,40,0.02,1,0.00015487346727268732,0.06410742870839767,0.1449803673818827,0.0010331421496050598,0.0007020000011834782
noise_robustness,s_curve,False,bspline_interp,chord,40,0.02,1,0.00015295010987860332,0.06567316885158633,0.15087768977334465,0.0010437036973187906,0.00033400000029359944
noise_robustness,s_curve,False,poly_ls,chord,40,0.02,1,0.02593315693563932,0.05801654026235947,0.07806888235365897,0.00014434842024204234,0.000307099999190541
noise_robustness,s_curve,False,bspline_ls,chord,40,0.02,1,0.017832848356281607,0.029410372075958632,0.0382392091885833,0.00011056287936485928,0.00015660000281059183
noise_robustness,s_curve,False,cubic_spline,chord,40,0.04,1,0.00016477696420763132,0.0833458292567775,0.13775812307470225,0.0014001617207224112,0.0006442999983846676
noise_robustness,s_curve,False,bspline_interp,chord,40,0.04,1,0.00016327516105326374,0.08420593001215498,0.14451266953260547,0.0014223880977682433,0.00033629999961704016
noise_robustness,s_curve,False,poly_ls,chord,40,0.04,1,0.03493480479221134,0.05704652189001872,0.07418797750733051,0.00015928889403594057,0.000342100000125356
noise_robustness,s_curve,False,bspline_ls,chord,40,0.04,1,0.022121626386999448,0.062476149497526945,0.08954746429815116,0.00038646368884194516,0.00019249999968451448
