t,model,s,i,r,R0,beta,gamma
0.0,basic_sir,0.9999,0.0001,0.0,2.0,104.0,52.0
0.0027397260273972603,basic_sir,0.9998693813107599,0.00011530757910311067,1.5311110137021417e-05,2.0,104.0,52.0
0.005479452054794521,basic_sir,0.9998340769708114,0.00013295713138271702,3.296589780584565e-05,2.0,104.0,52.0
0.008219178082191782,basic_sir,0.9997933705401696,0.00015330655467098086,5.332290515944019e-05,2.0,104.0,52.0
0.010958904109589041,basic_sir,0.9997464362376359,0.00017676830497487855,7.679545738930776e-05,2.0,104.0,52.0
0.0136986301369863,basic_sir,0.9996923223203392,0.0002038176687368485,0.00010386001092405074,2.0,104.0,52.0
0.016438356164383564,basic_sir,0.9996299319589342,0.00023500227463862542,0.000135065766427295,2.0,104.0,52.0
0.019178082191780823,basic_sir,0.9995580012383904,0.0002709530258163991,0.00017104573579334052,2.0,104.0,52.0
0.021917808219178082,basic_sir,0.9994750738620384,0.000312396658123794,0.00021252947983799061,2.0,104.0,52.0
0.024657534246575342,basic_sir,0.9993794720777026,0.0003601701576873632,0.0002603577646101743,2.0,104.0,52.0
0.0273972602739726,basic_sir,0.9992692632788037,0.0004152373015748339,0.0003154994196216107,2.0,104.0,52.0
0.030136986301369864,basic_sir,0.9991422216597773,0.0004787076189885643,0.00037907072123427506,2.0,104.0,52.0
0.03287671232876713,basic_sir,0.9989957842236804,0.0005518581069344948,0.00045235766938525916,2.0,104.0,52.0
0.03561643835616438,basic_sir,0.9988270003502788,0.000636158073551102,0.0005368415761702007,2.0,104.0,52.0
0.038356164383561646,basic_sir,0.9986324740353903,0.0007332975237082354,0.0006342284409015332,2.0,104.0,52.0
0.0410958904109589,basic_sir,0.9984082978074016,0.0008452195442366309,0.0007464826483618974,2.0,104.0,52.0
0.043835616438356165,basic_sir,0.9981499772159541,0.0009741571888612974,0.0008758655951847443,2.0,104.0,52.0
0.04657534246575343,basic_sir,0.9978523446729867,0.001122675403541819,0.0010249799234716649,2.0,104.0,52.0
0.049315068493150684,basic_sir,0.9975094613110855,0.0012937185685102871,0.0011968201204043524,2.0,104.0,52.0
0.052054794520547946,basic_sir,0.9971145054136071,0.0014906642596642,0.0013948303267288448,2.0,104.0,52.0
0.0547945205479452,basic_sir,0.9966596458727897,0.0017173838433336697,0.001622970283876875,2.0,104.0,52.0
0.057534246575342465,basic_sir,0.9961358990565992,0.001978310506927596,0.0018857904364734742,2.0,104.0,52.0
0.06027397260273973,basic_sir,0.9955329674268993,0.002278515283014817,0.0021885172900860733,2.0,104.0,52.0
0.06301369863013699,basic_sir,0.9948390582703639,0.0026237915320506426,0.002537150197585727,2.0,104.0,52.0
0.06575342465753425,basic_sir,0.9940406810055792,0.003020748190999538,0.0029385708034215204,2.0,104.0,52.0
0.0684931506849315,basic_sir,0.9931224217493949,0.003476911848099416,0.00340066640250591,2.0,104.0,52.0
0.07123287671232877,basic_sir,0.9920666942071649,0.004000837338283419,0.003932468454551969,2.0,104.0,52.0
0.07397260273972603,basic_sir,0.9908534665514777,0.004602226032383071,0.004544307416139586,2.0,104.0,52.0
0.07671232876712329,basic_sir,0.9894599648426146,0.005292050271153331,0.005247984886232374,2.0,104.0,52.0
0.07945205479452055,basic_sir,0.9878603548070954,0.006082681418887256,0.006056963774017597,2.0,104.0,52.0
0.0821917808219178,basic_sir,0.9860254055302438,0.00698801771946311,0.006986576750293423,2.0,104.0,52.0
0.08493150684931507,basic_sir,0.9839221409518523,0.008023606462687518,0.008054252585460548,2.0,104.0,52.0
0.08767123287671233,basic_sir,0.9815134881091232,0.009206752841888188,0.009279759048988935,2.0,104.0,52.0
0.09041095890410959,basic_sir,0.9787579349792686,0.010556605242667428,0.010685459778064281,2.0,104.0,52.0
0.09315068493150686,basic_sir,0.9756092156541587,0.012094203505457741,0.012296580840383908,2.0,104.0,52.0
0.0958904109589041,basic_sir,0.9720160465125758,0.013842472949636208,0.01414148053778839,2.0,104.0,52.0
0.09863013698630137,basic_sir,0.9679219440484828,0.015826142703509054,0.016251913248008662,2.0,104.0,52.0
0.10136986301369863,basic_sir,0.9632651629447198,0.018071562332388293,0.018663274722892496,2.0,104.0,52.0
0.10410958904109589,basic_sir,0.9579788015304228,0.020606386238395297,0.021414812231182384,2.0,104.0,52.0
0.10684931506849316,basic_sir,0.9519911303210543,0.023459091384743537,0.02454977829420259,2.0,104.0,52.0
0.1095890410958904,basic_sir,0.9452262069232025,0.026658291421309783,0.028115501655488283,2.0,104.0,52.0
0.11232876712328767,basic_sir,0.9376048457289792,0.030231810434919976,0.03216334383610144,2.0,104.0,52.0
0.11506849315068493,basic_sir,0.9290460115322096,0.03420548383383164,0.036748504633959324,2.0,104.0,52.0
0.1178082191780822,basic_sir,0.9194686999657434,0.03860166409150762,0.04192963594274947,2.0,104.0,52.0
0.12054794520547946,basic_sir,0.9087943516306551,0.04343742709633072,0.04776822127301467,2.0,104.0,52.0
0.12328767123287672,basic_sir,0.8969498181237772,0.04872250228883405,0.0543276795873894,2.0,104.0,52.0
0.12602739726027398,basic_sir,0.8838708546745414,0.05445698740092231,0.0616721579245369,2.0,104.0,52.0
0.12876712328767123,basic_sir,0.8695060551288102,0.06062895566804779,0.06986498920314266,2.0,104.0,52.0
0.1315068493150685,basic_sir,0.8538210725662476,0.06721211671443257,0.07896681071932045,2.0,104.0,52.0
0.13424657534246576,basic_sir,0.8368028886260674,0.0741637457055561,0.08903336566837709,2.0,104.0,52.0
0.136986301369863,basic_sir,0.8184638167376231,0.08142313935537146,0.10011304390700601,2.0,104.0,52.0
0.13972602739726028,basic_sir,0.7988448631231261,0.0889108799271207,0.11224425694975389,2.0,104.0,52.0
0.14246575342465753,basic_sir,0.7780180413490776,0.09652917675586643,0.12545278189505657,2.0,104.0,52.0
0.1452054794520548,basic_sir,0.7560872572623245,0.10416349878593172,0.13974924395174432,2.0,104.0,52.0
0.14794520547945206,basic_sir,0.7331874619776453,0.11168560724215562,0.1551269307801995,2.0,104.0,52.0
0.1506849315068493,basic_sir,0.7094819118083041,0.11895795081272663,0.17156013737896977,2.0,104.0,52.0
0.15342465753424658,basic_sir,0.6851575630214423,0.12583921416308444,0.18900322281547383,2.0,104.0,52.0
0.15616438356164383,basic_sir,0.6604188401184622,0.13219064182833667,0.2073905180532016,2.0,104.0,52.0
0.1589041095890411,basic_sir,0.6354802138542787,0.13788262598462303,0.2266371601610987,2.0,104.0,52.0
0.16164383561643836,basic_sir,0.6105581728994991,0.1428009776009468,0.2466408494995545,2.0,104.0,52.0
0.1643835616438356,basic_sir,0.5858632423767594,0.14685231391301393,0.2672844437102271,2.0,104.0,52.0
0.16712328767123288,basic_sir,0.5615926807046866,0.14996809178329518,0.28843922751201856,2.0,104.0,52.0
0.16986301369863013,basic_sir,0.5379243796821243,0.15210697907511833,0.3099686412427578,2.0,104.0,52.0
0.1726027397260274,basic_sir,0.5150123249342635,0.15325545395769247,0.3317322211080444,2.0,104.0,52.0
0.17534246575342466,basic_sir,0.49298377818896666,0.1534267191405523,0.35358950267048145,2.0,104.0,52.0
0.1780821917808219,basic_sir,0.47193815393630456,0.1526581823105121,0.3754036637531838,2.0,104.0,52.0
0.18082191780821918,basic_sir,0.4519474085764641,0.1510078641334258,0.3970447272901106,2.0,104.0,52.0
0.18356164383561643,basic_sir,0.43305765631967047,0.14855014338001524,0.41839220030031476,2.0,104.0,52.0
0.1863013698630137,basic_sir,0.415291676594795,0.14537123991240408,0.43933708349280143,2.0,104.0,52.0
0.18904109589041096,basic_sir,0.39865197622507376,0.14156478398341446,0.4597832397915123,2.0,104.0,52.0
0.1917808219178082,basic_sir,0.3831241037718289,0.1372277418953553,0.47964815433281627,2.0,104.0,52.0
