t,model,s,i,r,R0,beta,gamma
0.0,basic_sir,0.9999,0.0001,0.0,8.0,416.0,52.0
0.0027397260273972603,basic_sir,0.9997046386922999,0.00027093631113821984,2.4424996561870808e-05,8.0,416.0,52.0
0.005479452054794521,basic_sir,0.9991756261865224,0.0007337851750400598,9.058863843735894e-05,8.0,416.0,52.0
0.008219178082191782,basic_sir,0.9977450254592231,0.001985284773650472,0.0002696897671263616,8.0,416.0,52.0
0.010958904109589041,basic_sir,0.9938900807431351,0.005356335132958369,0.0007535841239063735,8.0,416.0,52.0
0.0136986301369863,basic_sir,0.9836016994832751,0.014344006158509188,0.002054294358215546,8.0,416.0,52.0
0.016438356164383564,basic_sir,0.9568323335890216,0.037664179931017006,0.00550348647996126,8.0,416.0,52.0
0.019178082191780823,basic_sir,0.891547412268673,0.09411494038769463,0.01433764734363235,8.0,416.0,52.0
0.021917808219178082,basic_sir,0.7545826730998122,0.21022882586505348,0.03518850103513424,8.0,416.0,52.0
0.024657534246575342,basic_sir,0.5396876036455176,0.38322525384914097,0.07708714250534139,8.0,416.0,52.0
0.0273972602739726,basic_sir,0.3170697616833127,0.539358713386176,0.1435715249305112,8.0,416.0,52.0
0.030136986301369864,basic_sir,0.16325320562910145,0.6101895608982881,0.2265572334726104,8.0,416.0,52.0
0.03287671232876713,basic_sir,0.08125189416423001,0.6049582792888549,0.313789826546915,8.0,416.0,52.0
0.03561643835616438,basic_sir,0.04171857820918039,0.5611540894130106,0.39712733237780895,8.0,416.0,52.0
0.038356164383561646,basic_sir,0.02272320069272825,0.5041974153589771,0.47307938394829463,8.0,416.0,52.0
0.0410958904109589,basic_sir,0.013224969127840137,0.44603191030093353,0.5407431205712263,8.0,416.0,52.0
0.043835616438356165,basic_sir,0.008209758303602335,0.39144734491190675,0.6003428967844909,8.0,416.0,52.0
0.04657534246575343,basic_sir,0.005407847384276328,0.34206430593322695,0.6525278466824967,8.0,416.0,52.0
0.049315068493150684,basic_sir,0.003756627793177792,0.2981739278706054,0.6980694443362168,8.0,416.0,52.0
0.052054794520547946,basic_sir,0.0027351543213589716,0.25952848652208954,0.7377363591565516,8.0,416.0,52.0
0.0547945205479452,basic_sir,0.0020753260488260454,0.22567954051077666,0.7722451334403974,8.0,416.0,52.0
0.057534246575342465,basic_sir,0.0016325318542346205,0.19612403614030535,0.8022434320054601,8.0,416.0,52.0
0.06027397260273973,basic_sir,0.0013252757068540366,0.1703673406047949,0.8283073836883512,8.0,416.0,52.0
0.06301369863013699,basic_sir,0.001105745933857339,0.14794932940239966,0.8509449246637432,8.0,416.0,52.0
