t,model,s,i,r,R0,beta,gamma,beta0,mu
0.0,basic_sir,0.9999,0.0001,0.0,15.0,780.0,52.0,,
0.0027397260273972603,basic_sir,0.9992259952389123,0.000729051274134934,4.495348695269175e-05,15.0,780.0,52.0,,
0.005479452054794521,basic_sir,0.9943365793846994,0.005291442849966072,0.00037197776533443575,15.0,780.0,52.0,,
0.008219178082191782,basic_sir,0.9600917096724817,0.037199354522268,0.0027089358052502822,15.0,780.0,52.0,,
0.010958904109589041,basic_sir,0.7683919054689812,0.21403536830625597,0.017572726224762754,15.0,780.0,52.0,,
0.0136986301369863,basic_sir,0.32212534497756107,0.6023067187330361,0.07556793628940281,15.0,780.0,52.0,,
0.016438356164383564,basic_sir,0.07185454366706352,0.7521238304451243,0.17602162588781212,15.0,780.0,52.0,,
0.019178082191780823,basic_sir,0.015078393686750357,0.7041643908281217,0.2807572154851279,15.0,780.0,52.0,,
0.021917808219178082,basic_sir,0.003675498991673697,0.6210997643059608,0.3752247367023654,15.0,780.0,52.0,,
0.024657534246575342,basic_sir,0.0010660435946995394,0.5410212529630545,0.457912703442246,15.0,780.0,52.0,,
0.0273972602739726,basic_sir,0.0003630253553440016,0.4698288297235624,0.5298081449210936,15.0,780.0,52.0,,
0.030136986301369864,basic_sir,0.00014244883715074918,0.4076466568936971,0.5922108942691521,15.0,780.0,52.0,,
0.03287671232876713,basic_sir,6.32578097859064e-05,0.3535912040000757,0.6463455381901383,15.0,780.0,52.0,,
0.03561643835616438,basic_sir,3.1281851674498714e-05,0.30666990745873474,0.6932988106895906,15.0,780.0,52.0,,
0.038356164383561646,basic_sir,1.698396970298988e-05,0.26596265088159404,0.7340203651487028,15.0,780.0,52.0,,
0.0410958904109589,basic_sir,9.999738816471903e-06,0.23065386478700212,0.7693361354741812,15.0,780.0,52.0,,
0.043835616438356165,basic_sir,6.316491651926467e-06,0.2000304259699559,0.7999632575383919,15.0,780.0,52.0,,
0.04657534246575343,basic_sir,4.240826725459568e-06,0.17347176435737435,0.8265239948159,15.0,780.0,52.0,,
0.049315068493150684,basic_sir,3.0019090848393943e-06,0.1504388598797195,0.8495581382111954,15.0,780.0,52.0,,
0.052054794520547946,basic_sir,2.2246806487997416e-06,0.1304638996509836,0.8695338756683674,15.0,780.0,52.0,,
0.0547945205479452,basic_sir,1.7156000861971459e-06,0.11314102055972922,0.8868572638401844,15.0,780.0,52.0,,
0.057534246575342465,basic_sir,1.3694580318955161e-06,0.09811816944419291,0.901880461097775,15.0,780.0,52.0,,
0.06027397260273973,basic_sir,1.1263573400730305e-06,0.08508999780573964,0.91490887583692,15.0,780.0,52.0,,
0.06301369863013699,basic_sir,9.507647459959821e-07,0.0737916796017532,0.9262073696335006,15.0,780.0,52.0,,
0.06575342465753425,basic_sir,8.208107443769735e-07,0.06399354046038529,0.9360056387288701,15.0,780.0,52.0,,
0.0684931506849315,basic_sir,7.225841361070884e-07,0.05549639542568094,0.9445028819901827,15.0,780.0,52.0,,
0.07123287671232877,basic_sir,6.469696001921934e-07,0.04812750341765667,0.951871849612743,15.0,780.0,52.0,,
0.07397260273972603,basic_sir,5.878322979104622e-07,0.041737057623812364,0.9582623545438895,15.0,780.0,52.0,,
0.07671232876712329,basic_sir,5.409420862475655e-07,0.03619514122139345,0.9638043178365201,15.0,780.0,52.0,,
0.07945205479452055,basic_sir,5.033173193075113e-07,0.031389086938601624,0.968610409744079,15.0,780.0,52.0,,
0.0821917808219178,basic_sir,4.728138940809738e-07,0.027221186993281493,0.9727783401928244,15.0,780.0,52.0,,
0.08493150684931507,basic_sir,4.47861604512008e-07,0.02360670697568381,0.9763928451627116,15.0,780.0,52.0,,
0.08767123287671233,basic_sir,4.2729121994731094e-07,0.02047216336918959,0.9795274093395905,15.0,780.0,52.0,,
0.09041095890410959,basic_sir,4.1021873909015714e-07,0.01775382973350988,0.9822457600477511,15.0,780.0,52.0,,
0.09315068493150686,basic_sir,3.959664481277867e-07,0.01539644120681364,0.9846031628267383,15.0,780.0,52.0,,
0.0958904109589041,basic_sir,3.840081378001878e-07,0.01335207100517801,0.9866475449866843,15.0,780.0,52.0,,
0.09863013698630137,basic_sir,3.7393046841725845e-07,0.011579156088515917,0.9884204699810157,15.0,780.0,52.0,,
0.10136986301369863,basic_sir,3.6540531090814205e-07,0.010041652191046734,0.9899579824036424,15.0,780.0,52.0,,
0.10410958904109589,basic_sir,3.58169665810525e-07,0.008708301042085724,0.9912913407882485,15.0,780.0,52.0,,
0.10684931506849316,basic_sir,3.5201089083812887e-07,0.007551994882322128,0.9924476531067871,15.0,780.0,52.0,,
0.1095890410958904,basic_sir,3.467556982622513e-07,0.006549225357853992,0.9934504278864478,15.0,780.0,52.0,,
0.11232876712328767,basic_sir,3.422618638293672e-07,0.005679605589053849,0.9943200521490824,15.0,780.0,52.0,,
0.11506849315068493,basic_sir,3.384119096699927e-07,0.004925455698596859,0.9950742058894936,15.0,780.0,52.0,,
0.1178082191780822,basic_sir,3.3510824074857543e-07,0.004271443372854286,0.995728221518905,15.0,780.0,52.0,,
0.12054794520547946,basic_sir,3.322693632754027e-07,0.0037042721495174832,0.9962953955811193,15.0,780.0,52.0,,
0.12328767123287672,basic_sir,3.2982691684320157e-07,0.0032124110944827555,0.9967872590786006,15.0,780.0,52.0,,
0.12602739726027398,basic_sir,3.2772332461486425e-07,0.002785860372400226,0.9972138119042753,15.0,780.0,52.0,,
0.12876712328767123,basic_sir,3.2590991739378493e-07,0.002415947944962298,0.9975837261451205,15.0,780.0,52.0,,
0.1315068493150685,basic_sir,3.243454243401757e-07,0.00209515326380541,0.9979045223907703,15.0,780.0,52.0,,
0.13424657534246576,basic_sir,3.2299474983538834e-07,0.001816954373681746,0.9981827226315685,15.0,780.0,52.0,,
