experiment,replicate,N,I0,R0_basic,S0,R_init,alpha,phase,phase_label,t_max,outbreak_threshold,outbreak_threshold_count,extinct,extinction_time,early_fadeout,major_outbreak,establishment_time,t_final,final_S,final_I,final_R,peak_I,peak_i,t_peak,n_events
seasonal_near_threshold_alpha,1,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.06574628118350631,True,False,,0.06574628118350631,1506,0,8494,6,0.0006,0.004480457596327515,23
seasonal_near_threshold_alpha,2,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.6434996802836903,True,False,,0.6434996802836903,1063,0,8937,44,0.0044,0.20012445904737075,1116
seasonal_near_threshold_alpha,3,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.19718677957926228,True,False,,0.19718677957926228,1493,0,8507,10,0.001,0.016277765582075034,100
seasonal_near_threshold_alpha,4,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.5387940854711857,True,False,,0.5387940854711857,967,0,9033,48,0.0048,0.2117972556503949,1271
seasonal_near_threshold_alpha,5,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.5165519823411863,True,False,,0.5165519823411863,1174,0,8826,41,0.0041,0.39954101671394476,852
seasonal_near_threshold_alpha,6,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.8657114054325113,True,False,,0.8657114054325113,976,0,9024,47,0.0047,0.45558211664368015,1368
seasonal_near_threshold_alpha,7,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.13428757870563732,0.13428757870563732,1313,50,8637,50,0.005,0.13428757870563732,386
seasonal_near_threshold_alpha,8,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.9218280383786263,True,False,,0.9218280383786263,998,0,9002,43,0.0043,0.6199456621568552,1360
seasonal_near_threshold_alpha,9,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.12291905800576151,0.12291905800576151,1378,50,8572,50,0.005,0.12291905800576151,238
seasonal_near_threshold_alpha,10,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.3969046362932486,True,False,,0.3969046362932486,1381,0,8619,25,0.0025,0.17351363520966406,381
seasonal_near_threshold_alpha,11,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.3941363955937006,True,False,,0.3941363955937006,1207,0,8793,40,0.004,0.07676548028252299,741
seasonal_near_threshold_alpha,12,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.25668071767390327,True,False,,0.25668071767390327,1315,0,8685,38,0.0038,0.16104221678813058,453
seasonal_near_threshold_alpha,13,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,True,0.11342533368503879,True,False,,0.11342533368503879,1499,0,8501,7,0.0007,0.05383725802820419,61
seasonal_near_threshold_alpha,14,10000,5,8.0,1500,8495,0.0,0.0,phase 0,2.0,0.005,50,False,,False,True,0.20310134611902536,0.20310134611902536,1311,50,8639,50,0.005,0.20310134611902536,411
