experiment,replicate,N,I0,R0_basic,S0,R_init,alpha,phase,phase_label,t_max,outbreak_threshold,outbreak_threshold_count,extinct,extinction_time,early_fadeout,major_outbreak,establishment_time,t_final,final_S,final_I,final_R,peak_I,peak_i,t_peak,n_events
near_threshold_N_I0_grid,1,1000,1,8.0,150,849,0.0,0.0,phase 0,2.0,0.005,5,True,0.011681414956904126,True,False,,0.011681414956904126,151,0,849,1,0.001,0.0,2
near_threshold_N_I0_grid,2,1000,1,8.0,150,849,0.0,0.0,phase 0,2.0,0.005,5,True,0.00319875633762106,True,False,,0.00319875633762106,150,0,850,1,0.001,0.0,1
near_threshold_N_I0_grid,3,1000,1,8.0,150,849,0.0,0.0,phase 0,2.0,0.005,5,True,0.04585916663042077,True,False,,0.04585916663042077,150,0,850,2,0.002,0.03128359396082894,4
near_threshold_N_I0_grid,4,1000,1,8.0,150,849,0.0,0.0,phase 0,2.0,0.005,5,False,,False,True,0.02861475054641207,0.02861475054641207,143,5,852,5,0.005,0.02861475054641207,10
near_threshold_N_I0_grid,5,1000,1,8.0,150,849,0.0,0.0,phase 0,2.0,0.005,5,False,,False,True,0.019579497657700493,0.019579497657700493,146,5,849,5,0.005,0.019579497657700493,7
near_threshold_N_I0_grid,6,1000,1,8.0,150,849,0.0,0.0,phase 0,2.0,0.005,5,True,0.01479130119567709,True,False,,0.01479130119567709,150,0,850,1,0.001,0.0,1
near_threshold_N_I0_grid,7,1000,1,8.0,150,849,0.0,0.0,phase 0,2.0,0.005,5,False,,False,True,0.0334454773644763,0.0334454773644763,145,5,850,5,0.005,0.0334454773644763,9
near_threshold_N_I0_grid,8,1000,1,8.0,150,849,0.0,0.0,phase 0,2.0,0.005,5,True,0.0018252282296413371,True,False,,0.0018252282296413371,150,0,850,1,0.001,0.0,1
near_threshold_N_I0_grid,9,1000,1,8.0,150,849,0.0,0.0,phase 0,2.0,0.005,5,True,0.060831412311386765,True,False,,0.060831412311386765,149,0,851,3,0.003,0.05584446690190539,6
near_threshold_N_I0_grid,10,1000,1,8.0,150,849,0.0,0.0,phase 0,2.0,0.005,5,True,0.04131813599023819,True,False,,0.04131813599023819,145,0,855,4,0.004,0.03177013018738173,11
