N,I0,R0_basic,S0,R_init,alpha,phase,phase_label,outbreak_threshold,outbreak_threshold_count,n_repeats,n_early_fadeout,early_fadeout_probability,early_fadeout_se,n_major_outbreak,major_outbreak_probability,major_outbreak_se,n_fadeout_extinct_before_threshold,fadeout_extinction_probability_before_threshold,median_extinction_time,median_fadeout_extinction_time,mean_peak_I,mean_peak_i,mean_n_events
1000,1,8.0,150,849,0.0,0.0,phase 0,0.005,5,100,81,0.81,0.03923009049186606,19,0.19,0.039230090491866064,81,0.81,0.011681414956904126,0.011681414956904126,2.25,0.0022500000000000003,4.3
1000,2,8.0,150,848,0.0,0.0,phase 0,0.005,5,100,40,0.4,0.04898979485566356,60,0.6,0.04898979485566356,40,0.4,0.0247754496526556,0.0247754496526556,4.09,0.00409,6.61
1000,5,8.0,150,845,0.0,0.0,phase 0,0.005,6,100,12,0.12,0.03249615361854384,88,0.88,0.03249615361854384,12,0.12,0.03632121400990372,0.03632121400990372,5.88,0.00588,4.43
1000,10,8.0,150,840,0.0,0.0,phase 0,0.005,11,100,2,0.02,0.014,98,0.98,0.014000000000000005,2,0.02,0.11993073990032882,0.11993073990032882,10.98,0.010979999999999995,5.5
3000,1,8.0,450,2549,0.0,0.0,phase 0,0.005,15,100,88,0.88,0.03249615361854384,12,0.12,0.03249615361854384,88,0.88,0.01210283163335829,0.01210283163335829,3.87,0.0012899999999999995,16.51
3000,2,8.0,450,2548,0.0,0.0,phase 0,0.005,15,100,70,0.7,0.045825756949558406,30,0.3,0.0458257569495584,70,0.7,0.03885085488777401,0.03885085488777401,7.5,0.0025,38.5
3000,5,8.0,450,2545,0.0,0.0,phase 0,0.005,15,100,45,0.45,0.049749371855331,55,0.55,0.049749371855330994,45,0.45,0.0701595170982471,0.0701595170982471,11.85,0.0039499999999999995,54.3
3000,10,8.0,450,2540,0.0,0.0,phase 0,0.005,15,100,9,0.09,0.02861817604250837,91,0.91,0.028618176042508364,9,0.09,0.08362847165231709,0.08362847165231709,14.83,0.0049433333333333326,38.04
10000,1,8.0,1500,8499,0.0,0.0,phase 0,0.005,50,100,89,0.89,0.031288975694324025,11,0.11,0.03128897569432403,89,0.89,0.023242234302003027,0.023242234302003027,10.98,0.001098,153.9
10000,2,8.0,1500,8498,0.0,0.0,phase 0,0.005,50,100,83,0.83,0.037563279941985904,17,0.17,0.0375632799419859,83,0.83,0.03486438000559369,0.03486438000559369,14.38,0.001438,154.44
10000,5,8.0,1500,8495,0.0,0.0,phase 0,0.005,50,100,67,0.67,0.04702127178203499,33,0.33,0.04702127178203499,67,0.67,0.1948931419593486,0.1948931419593486,30.3,0.0030299999999999997,402.75
10000,10,8.0,1500,8490,0.0,0.0,phase 0,0.005,50,100,56,0.56,0.04963869458396342,44,0.44,0.04963869458396343,56,0.56,0.5034320888269133,0.5034320888269133,39.61,0.003961,604.21
30000,1,8.0,4500,25499,0.0,0.0,phase 0,0.005,150,100,95,0.95,0.021794494717703377,5,0.05,0.021794494717703367,95,0.95,0.016142947843434063,0.016142947843434063,22.87,0.0007623333333333332,518.24
30000,2,8.0,4500,25498,0.0,0.0,phase 0,0.005,150,100,93,0.93,0.02551470164434614,7,0.07,0.02551470164434615,93,0.93,0.06555612628876348,0.06555612628876348,38.7,0.0012900000000000001,1003.11
30000,5,8.0,4500,25495,0.0,0.0,phase 0,0.005,150,100,88,0.88,0.03249615361854384,12,0.12,0.03249615361854384,88,0.88,0.5940999324094693,0.5940999324094693,72.51,0.0024170000000000003,1881.87
30000,10,8.0,4500,25490,0.0,0.0,phase 0,0.005,150,100,88,0.88,0.03249615361854384,12,0.12,0.03249615361854384,88,0.88,0.7849690968804921,0.7849690968804921,101.32,0.0033773333333333333,2864.32
