replicate,N,I0,R0_basic,alpha,phase,extinct,extinction_time,peak_I,peak_i,t_peak,final_I,n_events
1,10000,20,8.0,0.0,0.0,True,0.174779871453194,6297,0.6297,0.02288594523413746,0,20007
2,10000,20,8.0,0.0,0.0,True,0.23959936658703548,6230,0.623,0.022329914775427246,0,20020
3,10000,20,8.0,0.0,0.0,True,0.20042514223201102,6155,0.6155,0.022328360103857282,0,20028
4,10000,20,8.0,0.0,0.0,True,0.2233691338468531,6089,0.6089,0.02378153027358828,0,20024
5,10000,20,8.0,0.0,0.0,True,0.18846772316433755,6164,0.6164,0.023881781637580323,0,20000
6,10000,20,8.0,0.0,0.0,True,0.1768573281091526,6203,0.6203,0.022590189644609664,0,20006
7,10000,20,8.0,0.0,0.0,True,0.19352256966595777,6184,0.6184,0.02314084798150689,0,20023
8,10000,20,8.0,0.0,0.0,True,0.20889011138131508,6134,0.6134,0.023294571012044237,0,20009
9,10000,20,8.0,0.0,0.0,True,0.26208526898695844,6100,0.61,0.022441277834744557,0,20019
10,10000,20,8.0,0.0,0.0,True,0.19359272683383041,6164,0.6164,0.023274554279782575,0,20011
11,10000,20,8.0,0.0,0.0,True,0.18833148373756317,6124,0.6124,0.02283125311944388,0,20020
12,10000,20,8.0,0.0,0.0,True,0.18792374135454576,6120,0.612,0.024963008993164303,0,20013
13,10000,20,8.0,0.0,0.0,True,0.24347773020868543,6158,0.6158,0.02236165924968999,0,20019
14,10000,20,8.0,0.0,0.0,True,0.20416840191912702,6183,0.6183,0.023257609951629277,0,20010
15,10000,20,8.0,0.0,0.0,True,0.20831015485180088,6082,0.6082,0.02473911022887049,0,20009
16,10000,20,8.0,0.0,0.0,True,0.234109430586083,6285,0.6285,0.02253165413863789,0,20033
17,10000,20,8.0,0.0,0.0,True,0.1847557316963317,6196,0.6196,0.023345984457312684,0,20020
18,10000,20,8.0,0.0,0.0,True,0.20872986480681485,6225,0.6225,0.021700208387935606,0,20028
19,10000,20,8.0,0.0,0.0,True,0.19866790095054607,6116,0.6116,0.021724841837974886,0,20012
20,10000,20,8.0,0.0,0.0,True,0.181227955542779,6144,0.6144,0.02159653701511978,0,20010
21,10000,20,8.0,0.0,0.0,True,0.2542092232828591,6180,0.618,0.023550478003934724,0,20042
22,10000,20,8.0,0.0,0.0,True,0.29292926170039657,6184,0.6184,0.02244629069419719,0,20032
23,10000,20,8.0,0.0,0.0,True,0.19742254148296776,6073,0.6073,0.024318232617332024,0,19990
24,10000,20,8.0,0.0,0.0,True,0.20627459640683787,6212,0.6212,0.02117942271999862,0,20010
25,10000,20,8.0,0.0,0.0,True,0.22149069165468485,6217,0.6217,0.023219100767152404,0,20009
26,10000,20,8.0,0.0,0.0,True,0.21493234794109525,6183,0.6183,0.02400086828078553,0,20001
27,10000,20,8.0,0.0,0.0,True,0.21027106346238864,6154,0.6154,0.023647559764909697,0,20012
28,10000,20,8.0,0.0,0.0,True,0.23109906780100128,6301,0.6301,0.023697740384790285,0,20019
29,10000,20,8.0,0.0,0.0,True,0.17866427463949425,6093,0.6093,0.02343384912311253,0,20001
30,10000,20,8.0,0.0,0.0,True,0.24281910584063268,6367,0.6367,0.022792362480649888,0,20015
