replicate,t,S,I,R,s_prop,i_prop,r_prop,N,I0,R0_basic,alpha,phase
1,0.0,9980,20,0,0.998,0.002,0.0,10000,20,8.0,0.0,0.0
1,0.00821917808219178,9533,419,48,0.9533,0.0419,0.0048,10000,20,8.0,0.0,0.0
1,0.01643835616438356,5086,4123,791,0.5086,0.4123,0.0791,10000,20,8.0,0.0,0.0
1,0.02465753424657534,638,6122,3240,0.0638,0.6122,0.324,10000,20,8.0,0.0,0.0
1,0.03287671232876712,109,4397,5494,0.0109,0.4397,0.5494,10000,20,8.0,0.0,0.0
1,0.0410958904109589,28,2909,7063,0.0028,0.2909,0.7063,10000,20,8.0,0.0,0.0
1,0.04931506849315068,11,1912,8077,0.0011,0.1912,0.8077,10000,20,8.0,0.0,0.0
1,0.05753424657534246,8,1270,8722,0.0008,0.127,0.8722,10000,20,8.0,0.0,0.0
1,0.06575342465753424,6,822,9172,0.0006,0.0822,0.9172,10000,20,8.0,0.0,0.0
1,0.07397260273972601,5,549,9446,0.0005,0.0549,0.9446,10000,20,8.0,0.0,0.0
1,0.0821917808219178,4,363,9633,0.0004,0.0363,0.9633,10000,20,8.0,0.0,0.0
1,0.09041095890410958,5,234,9761,0.0005,0.0234,0.9761,10000,20,8.0,0.0,0.0
1,0.09863013698630135,5,158,9837,0.0005,0.0158,0.9837,10000,20,8.0,0.0,0.0
1,0.10684931506849314,4,103,9893,0.0004,0.0103,0.9893,10000,20,8.0,0.0,0.0
1,0.11506849315068492,5,75,9920,0.0005,0.0075,0.992,10000,20,8.0,0.0,0.0
1,0.1232876712328767,5,44,9951,0.0005,0.0044,0.9951,10000,20,8.0,0.0,0.0
1,0.13150684931506848,5,26,9969,0.0005,0.0026,0.9969,10000,20,8.0,0.0,0.0
1,0.13972602739726026,6,14,9980,0.0006,0.0014,0.998,10000,20,8.0,0.0,0.0
1,0.14794520547945203,8,8,9984,0.0008,0.0008,0.9984,10000,20,8.0,0.0,0.0
1,0.15616438356164383,8,6,9986,0.0008,0.0006,0.9986,10000,20,8.0,0.0,0.0
1,0.1643835616438356,8,2,9990,0.0008,0.0002,0.999,10000,20,8.0,0.0,0.0
1,0.17260273972602738,10,1,9989,0.001,0.0001,0.9989,10000,20,8.0,0.0,0.0
1,0.18082191780821916,12,0,9988,0.0012,0.0,0.9988,10000,20,8.0,0.0,0.0
1,0.18904109589041093,12,0,9988,0.0012,0.0,0.9988,10000,20,8.0,0.0,0.0
1,0.1972602739726027,12,0,9988,0.0012,0.0,0.9988,10000,20,8.0,0.0,0.0
1,0.2054794520547945,12,0,9988,0.0012,0.0,0.9988,10000,20,8.0,0.0,0.0
1,0.21369863013698628,12,0,9988,0.0012,0.0,0.9988,10000,20,8.0,0.0,0.0
1,0.22191780821917806,12,0,9988,0.0012,0.0,0.9988,10000,20,8.0,0.0,0.0
1,0.23013698630136983,12,0,9988,0.0012,0.0,0.9988,10000,20,8.0,0.0,0.0
1,0.2383561643835616,12,0,9988,0.0012,0.0,0.9988,10000,20,8.0,0.0,0.0
1,0.2465753424657534,12,0,9988,0.0012,0.0,0.9988,10000,20,8.0,0.0,0.0
