model,R0,beta,gamma,s0,i0,r0,threshold_1_over_R0,threshold_label,peak_i,peak_increase_over_i0,mass_error_max,min_state_value
basic_sir_threshold,8.0,416.0,52.0,0.02,0.0001,0.9799,0.125,below_threshold,0.0001,0.0,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.034188405797101445,0.0001,0.9657115942028985,0.125,below_threshold,0.0001,0.0,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.0483768115942029,0.0001,0.9515231884057971,0.125,below_threshold,0.0001,0.0,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.06256521739130434,0.0001,0.9373347826086956,0.125,below_threshold,0.0001,0.0,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.0767536231884058,0.0001,0.9231463768115942,0.125,below_threshold,0.0001,0.0,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.09094202898550725,0.0001,0.9089579710144927,0.125,below_threshold,0.0001,0.0,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.1051304347826087,0.0001,0.8947695652173913,0.125,below_threshold,0.0001,0.0,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.11931884057971014,0.0001,0.8805811594202899,0.125,below_threshold,0.0001,0.0,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.13350724637681158,0.0001,0.8663927536231885,0.125,above_threshold,0.00037699399668466964,0.00027699399668466965,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.14769565217391303,0.0001,0.852204347826087,0.125,above_threshold,0.0019406503077713903,0.0018406503077713903,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.1618840579710145,0.0001,0.8380159420289855,0.125,above_threshold,0.0046632267005537395,0.004563226700553739,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.17607246376811592,0.0001,0.8238275362318841,0.125,above_threshold,0.00834972639871822,0.00824972639871822,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.19026086956521737,0.0001,0.8096391304347826,0.125,above_threshold,0.01285057070642158,0.01275057070642158,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.20444927536231883,0.0001,0.7954507246376812,0.125,above_threshold,0.018048504715451094,0.017948504715451095,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.21863768115942026,0.0001,0.7812623188405797,0.125,above_threshold,0.0238499063451683,0.0237499063451683,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.2328260869565217,0.0001,0.7670739130434783,0.125,above_threshold,0.03017883325022193,0.03007883325022193,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.24701449275362317,0.0001,0.7528855072463768,0.125,above_threshold,0.03697283366359291,0.03687283366359291,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.26120289855072465,0.0001,0.7386971014492754,0.125,above_threshold,0.04417992891406905,0.04407992891406905,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.2753913043478261,0.0001,0.7245086956521739,0.125,above_threshold,0.05175639511443429,0.05165639511443429,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.28957971014492756,0.0001,0.7103202898550725,0.125,above_threshold,0.05966510275735602,0.05956510275735602,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.303768115942029,0.0001,0.696131884057971,0.125,above_threshold,0.06787425387510175,0.06777425387510175,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.3179565217391304,0.0001,0.6819434782608695,0.125,above_threshold,0.07635640773419286,0.07625640773419286,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.33214492753623187,0.0001,0.6677550724637682,0.125,above_threshold,0.08508771940037774,0.08498771940037773,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.3463333333333333,0.0001,0.6535666666666666,0.125,above_threshold,0.09404733769223125,0.09394733769223125,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.3605217391304348,0.0001,0.6393782608695653,0.125,above_threshold,0.10321692408990735,0.10311692408990734,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.37471014492753624,0.0001,0.6251898550724637,0.125,above_threshold,0.11258026456119108,0.11248026456119108,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.3888985507246377,0.0001,0.6110014492753624,0.125,above_threshold,0.12212295356828062,0.12202295356828062,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.40308695652173915,0.0001,0.5968130434782608,0.125,above_threshold,0.13183213472479768,0.1317321347247977,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.41727536231884055,0.0001,0.5826246376811595,0.125,above_threshold,0.14169628633642728,0.1415962863364273,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.431463768115942,0.0001,0.568436231884058,0.125,above_threshold,0.1517050428147687,0.15160504281476872,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.44565217391304346,0.0001,0.5542478260869566,0.125,above_threshold,0.16184904499615554,0.16174904499615556,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.4598405797101449,0.0001,0.5400594202898551,0.125,above_threshold,0.1721198139269566,0.17201981392695662,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.47402898550724637,0.0001,0.5258710144927536,0.125,above_threshold,0.18250964383445795,0.18240964383445796,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.4882173913043478,0.0001,0.5116826086956522,0.125,above_threshold,0.19301151088671184,0.19291151088671185,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.5024057971014493,0.0001,0.49749420289855073,0.125,above_threshold,0.20361899502623737,0.20351899502623738,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.5165942028985507,0.0001,0.4833057971014493,0.125,above_threshold,0.21432621269202967,0.21422621269202968,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.5307826086956522,0.0001,0.4691173913043478,0.125,above_threshold,0.22512775865905374,0.22502775865905375,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.5449710144927536,0.0001,0.45492898550724636,0.125,above_threshold,0.23601865555154916,0.23591865555154917,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.5591594202898551,0.0001,0.4407405797101449,0.125,above_threshold,0.24699430984632081,0.24689430984632083,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.5733478260869566,0.0001,0.42655217391304345,0.125,above_threshold,0.2580504733899255,0.2579504733899255,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.587536231884058,0.0001,0.412363768115942,0.125,above_threshold,0.26918320962075415,0.26908320962075416,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.6017246376811594,0.0001,0.39817536231884065,0.125,above_threshold,0.280388863822191,0.28028886382219104,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.6159130434782608,0.0001,0.3839869565217392,0.125,above_threshold,0.29166403684299613,0.29156403684299614,0.0,0.0001
basic_sir_threshold,8.0,416.0,52.0,0.6301014492753623,0.0001,0.36979855072463774,0.125,above_threshold,0.30300556181098026,0.3029055618109803,0.0,0.0001
