time,scenario,policy,mode,G,H,D,Q,Q_norm,avg_effort,effort_gini,free_riding_ratio,welfare,policy_cost,stability_score
0,critical_infrastructure,baseline,nash,0.7374512703930107,0.318046251150648,0.5825543631046842,3.006840466174304,0.39293091802461055,0.08947680596651127,0.4500559891068663,0.2571428571428571,66.02768068622144,0.0,0.00042094246239221533
1,critical_infrastructure,baseline,nash,0.8189825013421338,0.3140255397638434,0.6034547392182511,2.6920788296437186,0.36977030957555723,0.08013353069089009,0.4476541586973355,0.2571428571428571,70.2858030156244,0.0,-0.0003828479026124487
2,critical_infrastructure,baseline,nash,0.8715458175235754,0.3249409598362357,0.6145724282295807,2.4847637147293735,0.3534106531653249,0.07398062089140017,0.44572263537714174,0.2857142857142857,72.7013968434448,0.0,-0.0008455257560315843
3,critical_infrastructure,baseline,nash,0.9011623328168767,0.33958393121469177,0.6262633002643142,2.3540145792764964,0.34258462846346316,0.07010058076623438,0.4442901552471328,0.2857142857142857,73.90766768332306,0.0,-0.000991931360548426
4,critical_infrastructure,baseline,nash,0.915248046675674,0.35487579431275873,0.640763136255681,2.2809605185563764,0.3363504618753321,0.06793284439563348,0.44343587898071557,0.2857142857142857,74.3672676000221,0.0,-0.0009288533272506783
5,critical_infrastructure,baseline,nash,0.9194392380523949,0.3701636687931143,0.6452496263928619,2.2463163645484747,0.3333453697424292,0.06690489416155518,0.4430703024551095,0.2857142857142857,74.371153890566,0.0,-0.0008716793100913556
6,critical_infrastructure,baseline,nash,0.9174640348867503,0.38123335663021785,0.659492841484065,2.236017178530082,0.33244581482384145,0.06659930608691729,0.4429589736822477,0.2857142857142857,74.14619378774078,0.0,-0.0006577211563212337
7,critical_infrastructure,baseline,nash,0.9129126038168107,0.3923797407617869,0.6642316054990989,2.2408704685092755,0.3328700686296992,0.06674330813953203,0.44301158942579577,0.2857142857142857,73.8021036432665,0.0,-0.0005254326355055294
8,critical_infrastructure,baseline,nash,0.9067328712744184,0.400216361493357,0.6834838855481203,2.252057000690794,0.3338455323979322,0.06707522631107389,0.44313182134586504,0.2857142857142857,73.42324117734394,0.0,-0.00023824651233450567
9,critical_infrastructure,baseline,nash,0.900530720749258,0.41053750963969077,0.6875481805532756,2.2672534262914135,0.3351652966543423,0.06752612821730357,0.44329285403460483,0.2857142857142857,73.01094216061428,0.0,-0.00010607894560554776
10,critical_infrastructure,baseline,nash,0.8935682004409202,0.41743444720728723,0.7012818795964645,2.2825152551329255,0.33648457729898745,0.06797897676918867,0.4434519703685331,0.2857142857142857,72.60424075183012,0.0,0.00012446835340140794
11,critical_infrastructure,baseline,nash,0.8871575893740544,0.42525576424076394,0.7171749542612171,2.2996620412683453,0.3379595022608372,0.06848776282646361,0.4436447822014964,0.2857142857142857,72.20970798148288,0.0,0.00036118558304043535
12,critical_infrastructure,baseline,nash,0.8808124131308053,0.4342765347349067,0.7295491351615381,2.3154641610026596,0.3393119915319507,0.06895665598757972,0.4438343492320165,0.2857142857142857,71.80190278542449,0.0,0.0005631501930398741
13,critical_infrastructure,baseline,nash,0.8741467882167444,0.44283718160745184,0.7418912523936969,2.331120178325616,0.34064563384129853,0.06942122000259798,0.44402079459411925,0.2857142857142857,71.38310619503778,0.0,0.0007661324488004162
14,critical_infrastructure,baseline,nash,0.8674175964097075,0.45103216740145646,0.7616040385838321,2.3475847056337242,0.3420414032690417,0.06990978157234926,0.4442146363548327,0.2857142857142857,70.9639302325674,0.0,0.0010281555655913266
15,critical_infrastructure,baseline,nash,0.8607565971681407,0.4611854348753667,0.7753260969552096,2.3642264398242014,0.34344523654130416,0.07040360816418473,0.4444090599902244,0.2857142857142857,70.52196500240166,0.0,0.0012340057016637651
16,critical_infrastructure,baseline,nash,0.853548782143827,0.4705527657756027,0.8023316948745511,2.38072117914771,0.3448298339975339,0.07089307934406093,0.4445984838276513,0.2857142857142857,70.06170347936866,0.0,0.001549691032707523
17,critical_infrastructure,baseline,nash,0.846232816172305,0.4833018573489648,0.812392291311251,2.3985962028825503,0.3463226884081654,0.07142351682226826,0.44480015719278554,0.2857142857142857,69.55223820634896,0.0,0.0017260078098706444
18,critical_infrastructure,baseline,nash,0.8378321574954317,0.4927746653482635,0.8181288468674613,2.4167694041448793,0.3478324177499879,0.07196281023087342,0.4450014480377844,0.2857142857142857,69.0282694282225,0.0,0.0018841194955809826
19,critical_infrastructure,baseline,nash,0.8297325847102297,0.4990277128623206,0.8249276875911478,2.4376771472919705,0.34955941599861445,0.07258326101880296,0.4452284768810666,0.2857142857142857,68.55538492717831,0.0,0.002041351507233946
20,critical_infrastructure,baseline,nash,0.8227838049061936,0.503809390018078,0.8263917850069085,2.457879196275586,0.35121817441460823,0.07318277916975746,0.44544334310837086,0.2857142857142857,68.15436680163943,0.0,0.0021410939574866283
21,critical_infrastructure,baseline,nash,0.8169942593577912,0.5063191666218201,0.8333529513354724,2.4752474513127907,0.35263652551872093,0.07369820853316546,0.4456246279324563,0.2857142857142857,67.83671696127429,0.0,0.002266173029128904
22,critical_infrastructure,baseline,nash,0.8126106656120516,0.5092431601249705,0.8507673609081485,2.4897454980437734,0.3538150679681506,0.07412846511475173,0.44577357504306514,0.2857142857142857,67.58246131755293,0.0,0.0024462026694793693
23,critical_infrastructure,baseline,nash,0.8089831477184868,0.5154758630803862,0.8652158720972868,2.5007400279863585,0.3547055506384464,0.07445475130435397,0.44588511285028964,0.2857142857142857,67.32448056569935,0.0,0.002592455348491618
24,critical_infrastructure,baseline,nash,0.8048364942269074,0.5226706983032945,0.8701643821846267,2.509849866290132,0.3554412699213303,0.07472510718315285,0.44597662011897476,0.2857142857142857,67.02826819903072,0.0,0.002681048492182092
25,critical_infrastructure,baseline,nash,0.8000743499265645,0.5276109664229556,0.884298413033215,2.520276708075182,0.35628101167202664,0.0750345503822753,0.44608035751776054,0.2857142857142857,66.72806071059145,0.0,0.0028408754315889517
26,critical_infrastructure,baseline,nash,0.7956007506264362,0.5338489302655602,0.9067384801328646,2.53226923850673,0.3572437784860099,0.07539046220225525,0.4461983720104583,0.2857142857142857,66.42520350699455,0.0,0.003044788275274657
27,critical_infrastructure,baseline,nash,0.7909177547213173,0.543060748158863,0.9186673537603255,2.5435532374229664,0.3581466839140916,0.07572534908698789,0.44630816305176957,0.2857142857142857,66.07421300443269,0.0,0.003178109718627642
28,critical_infrastructure,baseline,nash,0.7852095717328132,0.5508199398588671,0.92914499399177,2.555384813926137,0.35909032191187135,0.07607648979745221,0.44642199944411387,0.2857142857142857,65.68790185504933,0.0,0.0033178920607452866
29,critical_infrastructure,baseline,nash,0.7792905301994898,0.5572868433391037,0.9333318432947808,2.569834269938511,0.3602385010682769,0.07650532848882413,0.4465592721903149,0.2857142857142857,65.30493711369337,0.0,0.0034195141346798907
0,critical_infrastructure,reputation,nash,0.9087494836439477,0.2159218804035674,0.5825543631046842,9.353650213797989,0.6616792620958752,0.2819822180825765,0.3542768815637849,0.0,74.67867484087189,0.12406937108852396,-0.004597045247619835
1,critical_infrastructure,reputation,nash,1.1074529250042489,0.1430427122007237,0.6052388269813268,9.013918713224971,0.6522344636834416,0.27211389823352117,0.35653899568136405,0.0,84.03128876116249,0.1223901678750488,-0.0072518146038096365
2,critical_infrastructure,reputation,nash,1.2193369002459724,0.10873342964246549,0.6194938526373477,8.81902314385982,0.6466704960353719,0.26636685536030086,0.3578083963564376,0.0,88.69896576382472,0.12138666331735685,-0.00864428288333352
3,critical_infrastructure,reputation,nash,1.272802306176474,0.09449074115482631,0.6351809822637913,8.718979462140062,0.6437713567113054,0.2634144747478044,0.3585427434269699,0.0,90.7942970557599,0.12086351197992362,-0.009198071196509394
4,critical_infrastructure,reputation,nash,1.2958043725807908,0.09273667661777929,0.6542322940738617,8.672998792804993,0.6424288706791881,0.26205675717090093,0.3588862223121754,0.0,91.6223245657649,0.12062115106510848,-0.009291696732186105
5,critical_infrastructure,reputation,nash,1.3040115458102044,0.09973457983476702,0.6636759571576369,8.653541014162279,0.6418588441241815,0.2614822134762756,0.3590328902795732,0.0,91.82162487714547,0.12051825036995997,-0.009261589824510974
6,critical_infrastructure,reputation,nash,1.3045979794903382,0.10788994318245806,0.6831127848866339,8.646642783866806,0.6416564806852527,0.2612785253418399,0.35908507724234084,0.0,91.74264271768655,0.12048172090713198,-0.009045340605115193
