time,scenario,policy,mode,G,H,D,Q,Q_norm,avg_effort,effort_gini,free_riding_ratio,welfare,policy_cost,stability_score
0,small_volunteer,baseline,nash,0.7432688469201258,0.0,0.29810617343180684,2.687765198428372,0.36614805448247933,0.07347674709159836,0.44628234848261017,0.22857142857142856,46.940474779469284,0.0,-0.0054001427356844545
1,small_volunteer,baseline,nash,0.8831772546087919,0.0,0.29240439313375555,2.271434353580509,0.33253812820868606,0.0620896838654578,0.4378999935524788,0.2571428571428571,51.609555248343646,0.0,-0.006664290971098996
2,small_volunteer,baseline,nash,0.9742617482774132,0.0,0.2945817973627037,1.9298329623120414,0.3015961280710597,0.05274600719947238,0.4298920871334164,0.2857142857142857,54.35848553507607,0.0,-0.007376027869603785
3,small_volunteer,baseline,nash,1.0337078710415204,0.0,0.2818558603991435,1.7059131479597955,0.2792892322013642,0.04662086545579444,0.4237127934043945,0.2857142857142857,56.045458975283296,0.0,-0.008017067755896168
4,small_volunteer,baseline,nash,1.0729678200161872,0.0,0.27632820725694457,1.5561811779471761,0.2633178497040013,0.042524868044213376,0.42008398997980034,0.3142857142857143,57.117568548160264,0.0,-0.008396802594346164
5,small_volunteer,baseline,nash,1.0992542802357361,0.0,0.2832724235939598,1.4547484933662969,0.25195758927663275,0.03975001289839856,0.41835610679806323,0.37142857142857144,57.81782522261177,0.0,-0.008504697320104837
6,small_volunteer,baseline,nash,1.1170725858937804,0.0,0.2877556924133114,1.385353080383863,0.24391167507155148,0.03785153091750786,0.41734473044050935,0.37142857142857144,58.28478636689849,0.0,-0.008578912247166004
7,small_volunteer,baseline,nash,1.1292717812400845,0.0,0.30543396220586927,1.3375132087223316,0.2382274854559831,0.03654272359767293,0.4169424235553152,0.37142857142857144,58.60098709996216,0.0,-0.008434451011122501
8,small_volunteer,baseline,nash,1.137687994077414,0.0,0.31010557533909744,1.3043428483078574,0.23421756958704815,0.03563523065441265,0.41680764373822754,0.37142857142857144,58.817502702257244,0.0,-0.00843456186718905
9,small_volunteer,baseline,nash,1.1435274433656493,0.0,0.30697226656837695,1.2812453650101063,0.23139111098335108,0.03500330924274986,0.4167819692962309,0.37142857142857144,58.966954900441166,0.0,-0.0085184717866722
10,small_volunteer,baseline,nash,1.1475959016901718,0.0,0.3197508152397447,1.2651117029655599,0.22939979314801384,0.03456190631541871,0.4167960754981652,0.37142857142857144,59.070709531922226,0.0,-0.00837969998338206
